with bread	with bread	1
no bread	no bread	1
with banana	with banana	1
no banana	no banana	1
with chicken fillet	with chicken fillet	1
no chicken fillet	no chicken fillet	1
with ribs	with ribs	1
no ribs	no ribs	1
with sausage	with sausage	1
no sausage	no sausage	1
with broccoli	with broccoli	1
no broccoli	no broccoli	1
with cabbage	with cabbage	1
no cabbage	no cabbage	1
with carrot	with carrot	1
no carrot	no carrot	1
with cucumber	with cucumber	1
no cucumber	no cucumber	1
with egg	with egg	1
no egg	no egg	1
with lemon	with lemon	1
no lemon	no lemon	1
with mushroom	with mushroom	1
no mushroom	no mushroom	1
with onion	with onion	1
no onion	no onion	1
with parsley	with parsley	1
no parsley	no parsley	1
with pepper	with pepper	1
no pepper	no pepper	1
with potato	with potato	1
no potato	no potato	1
with spring onion	with spring onion	1
no spring onion	no spring onion	1
with tomato	with tomato	1
no tomato	no tomato	1
with fry	with fry	1
no fry	no fry	1
with chop	with chop	1
no chop	no chop	1
with peel	with peel	1
no peel	no peel	1
with cook	with cook	1
no cook	no cook	1
with squeeze	with squeeze	1
no squeeze	no squeeze	1
with break	with break	1
no break	no break	1
with smash	with smash	1
no smash	no smash	1
with mix	with mix	1
no mix	no mix	1
with put together	with put together	1
no put together	no put together	1
with boil	with boil	1
no boil	no boil	1
with empty	with empty	1
no empty	no empty	1
with french skillet	with french skillet	1
no french skillet	no french skillet	1
with fry pan	with fry pan	1
no fry pan	no fry pan	1
with wok	with wok	1
no wok	no wok	1
with grill pan	with grill pan	1
no grill pan	no grill pan	1
with sauce pan	with sauce pan	1
no sauce pan	no sauce pan	1
with saucier	with saucier	1
no saucier	no saucier	1
with double boiler	with double boiler	1
no double boiler	no double boiler	1
with saute pan	with saute pan	1
no saute pan	no saute pan	1
with multi pot	with multi pot	1
no multi pot	no multi pot	1
with braiser	with braiser	1
no braiser	no braiser	1
with frenc oven	with frenc oven	1
no frenc oven	no frenc oven	1
with deep skillet	with deep skillet	1
no deep skillet	no deep skillet	1
with roaster pan	with roaster pan	1
no roaster pan	no roaster pan	1
with stock pot	with stock pot	1
no stock pot	no stock pot	1
with soup pot	with soup pot	1
no soup pot	no soup pot	1
